file,w,h,maxAbsR,maxAbsG,maxAbsB,maxAbsA,mae_rgb,mae_a,rmse_rgb,pctPixelsDiff,pctPixelsDiff_1e3,ssim_luma,worstX,worstY,nonFiniteLeft,nonFiniteRight
audiovis/pixels/audiovis.spec.barcount.128_s0.5_t5.75_export_con.raw,128,72,0.359375,0.359375,0.359375,0.359375,0.000122567,0.000122567,0.00466003,0.119358,0.119358,0.999927,53,64,0,0
audiovis/pixels/audiovis.spec.barcount.128_s0.5_t5.75_preview_con.raw,128,72,0.359375,0.359375,0.359375,0.359375,0.000122567,0.000122567,0.00466003,0.119358,0.119358,0.999927,53,64,0,0
audiovis/pixels/audiovis.spec.barcount.128_s1_t5.75_export_con.raw,256,144,0.710938,0.710938,0.710938,0.710938,0.000102202,0.000102202,0.00685896,0.0271267,0.0271267,0.999849,108,130,0,0
audiovis/pixels/audiovis.spec.barcount.128_s1_t5.75_preview_con.raw,256,144,0.710938,0.710938,0.710938,0.710938,0.000102202,0.000102202,0.00685896,0.0271267,0.0271267,0.999849,108,130,0,0
audiovis/pixels/audiovis.spec.barcount.128_s2_t5.75_export_con.raw,512,288,1,1,1,1,9.64006E-05,9.64006E-05,0.00797046,0.0169542,0.0169542,0.999826,216,260,0,0
audiovis/pixels/audiovis.spec.barcount.128_s2_t5.75_preview_con.raw,512,288,1,1,1,1,9.64006E-05,9.64006E-05,0.00797046,0.0169542,0.0169542,0.999826,216,260,0,0
audiovis/pixels/audiovis.spec.barcount.32_s0.5_t5.75_export_con.raw,128,72,0.130371,0.130371,0.130371,0.130371,4.83195E-05,4.83195E-05,0.0023666,0.0868056,0.0868056,0.999962,53,65,0,0
audiovis/pixels/audiovis.spec.barcount.32_s0.5_t5.75_preview_con.raw,128,72,0.130371,0.130371,0.130371,0.130371,4.83195E-05,4.83195E-05,0.0023666,0.0868056,0.0868056,0.999962,53,65,0,0
audiovis/pixels/audiovis.spec.barcount.32_s1_t5.75_export_con.raw,256,144,0.242188,0.242188,0.242188,0.242188,4.59883E-05,4.59883E-05,0.00333733,0.0189887,0.0189887,0.999927,106,130,0,0
audiovis/pixels/audiovis.spec.barcount.32_s1_t5.75_preview_con.raw,256,144,0.242188,0.242188,0.242188,0.242188,4.59883E-05,4.59883E-05,0.00333733,0.0189887,0.0189887,0.999927,106,130,0,0
audiovis/pixels/audiovis.spec.barcount.32_s2_t5.75_export_con.raw,512,288,0.488281,0.488281,0.488281,0.488281,4.30478E-05,4.30478E-05,0.0045847,0.00881619,0.00881619,0.999933,212,261,0,0
audiovis/pixels/audiovis.spec.barcount.32_s2_t5.75_preview_con.raw,512,288,0.488281,0.488281,0.488281,0.488281,4.30478E-05,4.30478E-05,0.0045847,0.00881619,0.00881619,0.999933,212,261,0,0
audiovis/pixels/audiovis.spec.barcount.4096_s0.5_t5.75_export_con.raw,128,72,0.459473,0.459473,0.459473,0.459473,0.000133375,0.000133375,0.00681354,0.0868056,0.0759549,0.999868,54,64,0,0
audiovis/pixels/audiovis.spec.barcount.4096_s0.5_t5.75_preview_con.raw,128,72,0.459473,0.459473,0.459473,0.459473,0.000133375,0.000133375,0.00681354,0.0868056,0.0759549,0.999868,54,64,0,0
audiovis/pixels/audiovis.spec.barcount.4096_s1_t5.75_export_con.raw,256,144,0.87207,0.87207,0.87207,0.87207,9.20693E-05,9.20693E-05,0.0073549,0.0217014,0.0217014,0.999861,110,130,0,0
audiovis/pixels/audiovis.spec.barcount.4096_s1_t5.75_preview_con.raw,256,144,0.87207,0.87207,0.87207,0.87207,9.20693E-05,9.20693E-05,0.0073549,0.0217014,0.0217014,0.999861,110,130,0,0
audiovis/pixels/audiovis.spec.barcount.4096_s2_t5.75_export_con.raw,512,288,0.997559,0.997559,0.997559,0.997559,8.56519E-05,8.56519E-05,0.00803559,0.016276,0.016276,0.999807,220,261,0,0
audiovis/pixels/audiovis.spec.barcount.4096_s2_t5.75_preview_con.raw,512,288,0.997559,0.997559,0.997559,0.997559,8.56519E-05,8.56519E-05,0.00803559,0.016276,0.016276,0.999807,220,261,0,0
audiovis/pixels/audiovis.spec.barcount.512_s0.5_t5.75_export_con.raw,128,72,0.459473,0.459473,0.459473,0.459473,0.000133375,0.000133375,0.00681354,0.0868056,0.0759549,0.999868,54,64,0,0
audiovis/pixels/audiovis.spec.barcount.512_s0.5_t5.75_preview_con.raw,128,72,0.459473,0.459473,0.459473,0.459473,0.000133375,0.000133375,0.00681354,0.0868056,0.0759549,0.999868,54,64,0,0
audiovis/pixels/audiovis.spec.barcount.512_s1_t5.75_export_con.raw,256,144,0.87207,0.87207,0.87207,0.87207,9.20693E-05,9.20693E-05,0.0073549,0.0217014,0.0217014,0.999861,110,130,0,0
audiovis/pixels/audiovis.spec.barcount.512_s1_t5.75_preview_con.raw,256,144,0.87207,0.87207,0.87207,0.87207,9.20693E-05,9.20693E-05,0.0073549,0.0217014,0.0217014,0.999861,110,130,0,0
audiovis/pixels/audiovis.spec.barcount.512_s2_t5.75_export_con.raw,512,288,0.997559,0.997559,0.997559,0.997559,8.56519E-05,8.56519E-05,0.00803559,0.016276,0.016276,0.999807,220,261,0,0
audiovis/pixels/audiovis.spec.barcount.512_s2_t5.75_preview_con.raw,512,288,0.997559,0.997559,0.997559,0.997559,8.56519E-05,8.56519E-05,0.00803559,0.016276,0.016276,0.999807,220,261,0,0
audiovis/pixels/audiovis.spec.density-ladder_s0.75_t5.75_export_con.raw,192,108,0.625,0.625,0.625,0.625,5.74088E-05,5.74088E-05,0.00556297,0.0289352,0.0289352,0.999608,80,97,0,0
audiovis/pixels/audiovis.spec.density-ladder_s0.75_t5.75_preview_con.raw,192,108,0.625,0.625,0.625,0.625,5.74088E-05,5.74088E-05,0.00556297,0.0289352,0.0289352,0.999608,80,97,0,0
audiovis/pixels/audiovis.spec.density-ladder_s1.5_t5.75_export_con.raw,384,216,1,1,1,1,3.8147E-05,3.8147E-05,0.00523711,0.00964506,0.00964506,0.999873,159,195,0,0
audiovis/pixels/audiovis.spec.density-ladder_s1.5_t5.75_preview_con.raw,384,216,1,1,1,1,3.8147E-05,3.8147E-05,0.00523711,0.00964506,0.00964506,0.999873,159,195,0,0
audiovis/pixels/audiovis.spec.density-ladder_s3_t5.75_export_con.raw,768,432,1,1,1,1,3.66399E-05,3.66399E-05,0.00547963,0.00572676,0.00572676,0.999777,318,390,0,0
audiovis/pixels/audiovis.spec.density-ladder_s3_t5.75_preview_con.raw,768,432,1,1,1,1,3.66399E-05,3.66399E-05,0.00547963,0.00572676,0.00572676,0.999777,318,390,0,0
audiovis/pixels/audiovis.spec.fft.100-nonpow2_s0.5_t5.75_export_con.raw,128,72,0.981445,0.981445,0.981445,0.981445,0.00574527,0.00574527,0.0593335,1.5408,1.5408,0.971057,118,54,0,0
audiovis/pixels/audiovis.spec.fft.100-nonpow2_s0.5_t5.75_preview_con.raw,128,72,0.981445,0.981445,0.981445,0.981445,0.00574527,0.00574527,0.0593335,1.5408,1.5408,0.971057,118,54,0,0
audiovis/pixels/audiovis.spec.fft.100-nonpow2_s1_t5.75_export_con.raw,256,144,1,1,1,1,0.00587138,0.00587138,0.0681298,1.01183,1.01183,0.971166,115,72,0,0
